lng,lat
-6.83889,62.09781
-6.840091,62.098051
-6.840263,62.098493
-6.841808,62.098814
-6.842238,62.099256
-6.843268,62.099457
-6.843955,62.100099
-6.844985,62.10026
-6.848848,62.100983
-6.85005,62.101385
-6.85211,62.101786
-6.85357,62.101987
-6.857604,62.102991
-6.858034,62.103433
-6.859837,62.103794
-6.863013,62.104678
-6.863786,62.105079
-6.866962,62.106043
-6.869022,62.106685
-6.872199,62.107488
-6.873486,62.107649
-6.874431,62.108131
-6.881385,62.108934
-6.878208,62.110781
-6.874345,62.111343
-6.864215,62.110219
-6.854085,62.107488
-6.836743,62.101385
-6.83889,62.09781
