lng,lat
-7.437562,62.082021
-7.422195,62.094195
-7.42726,62.09544
-7.428634,62.097449
-7.430008,62.097047
-7.431381,62.097408
-7.430866,62.098332
-7.43078,62.099095
-7.430523,62.099818
-7.431639,62.100099
-7.431982,62.101746
-7.434128,62.102991
-7.464347,62.102268
-7.474735,62.085597
-7.465034,62.081217
-7.4593680000000004,62.081579
-7.454818,62.080172
-7.450182,62.079168
-7.448122,62.079047
-7.445632,62.078725
-7.442713,62.078524
-7.441683,62.079529
-7.442198,62.080454
-7.44091,62.081177
-7.439623,62.081619
-7.437562,62.082021
