lng,lat
-7.170458,62.136087
-7.164535,62.138253
-7.163247,62.138935
-7.162818,62.140379
-7.162474,62.141502
-7.162045,62.142465
-7.160671,62.144029
-7.161873,62.146194
-7.161787,62.147197
-7.1605,62.147598
-7.1605,62.148079
-7.160414,62.149402
-7.160414,62.150044
-7.158182,62.150565
-7.156293,62.150325
-7.154147,62.150485
-7.150885,62.150645
-7.149854,62.151487
-7.156207,62.153853
-7.165736,62.15273
-7.169514,62.152249
-7.170286,62.150244
-7.17063,62.151969
-7.172347,62.152209
-7.173205,62.150164
-7.173205,62.150164
-7.172394,62.149295
-7.17072,62.149054
-7.172437,62.148813
-7.17278,62.148232
-7.172566,62.147189
-7.172737,62.145766
-7.174111,62.144523
-7.176987,62.144314
-7.170458,62.136087
